Date;Temperature_Mexico
22/01/2020;24
23/01/2020;19
24/01/2020;21
25/01/2020;22
26/01/2020;24
27/01/2020;24
28/01/2020;25
29/01/2020;25
30/01/2020;22
31/01/2020;24
01/02/2020;22
02/02/2020;22
03/02/2020;22
04/02/2020;22
05/02/2020;22
06/02/2020;25
07/02/2020;28
08/02/2020;27
09/02/2020;27
10/02/2020;29
11/02/2020;27
12/02/2020;26
13/02/2020;23
14/02/2020;26
15/02/2020;24
16/02/2020;28
17/02/2020;28
18/02/2020;30
19/02/2020;29
20/02/2020;26
21/02/2020;26
22/02/2020;27
23/02/2020;28
24/02/2020;29
25/02/2020;27
26/02/2020;25
27/02/2020;26
28/02/2020;26
29/02/2020;27
01/03/2020;29
02/03/2020;27
03/03/2020;27
04/03/2020;29
05/03/2020;27
06/03/2020;21
07/03/2020;25
08/03/2020;25
09/03/2020;29
10/03/2020;28
11/03/2020;27
12/03/2020;29
13/03/2020;30
14/03/2020;30
15/03/2020;28
16/03/2020;24
17/03/2020;25
18/03/2020;28
19/03/2020;29
20/03/2020;27
21/03/2020;26
22/03/2020;28
23/03/2020;30
24/03/2020;32
25/03/2020;31
26/03/2020;33
27/03/2020;31
28/03/2020;33
29/03/2020;29
30/03/2020;31
31/03/2020;29
01/04/2020;27
02/04/2020;27
03/04/2020;29
04/04/2020;28
05/04/2020;29
06/04/2020;27
07/04/2020;28
08/04/2020;28
09/04/2020;28
10/04/2020;29
11/04/2020;29
12/04/2020;28
13/04/2020;30
14/04/2020;30
15/04/2020;30
16/04/2020;29
17/04/2020;29
18/04/2020;27
19/04/2020;28
20/04/2020;29
21/04/2020;29
22/04/2020;29
23/04/2020;29
24/04/2020;28
25/04/2020;28
26/04/2020;26
27/04/2020;26
28/04/2020;26
29/04/2020;26
30/04/2020;26
